INFO 2026-01-29 11:00:21,638 staff_service 106 126757529171648 Staff created: 'tarah' by Admin 'admin'
INFO 2026-01-29 11:34:05,261 staff_service 136 129354089608896 Staff created: 'chap' by Admin 'admin'
INFO 2026-01-29 12:55:53,199 staff_service 273 133445816678080 Staff created: 'wh' by Admin 'admin'
INFO 2026-02-18 05:36:00,194 staff_service 69 140665903109824 Staff created: 'mmmaaannn' by Admin 'admin'
ERROR 2026-02-18 05:37:18,197 staff_service 69 140665903109824 Error updating staff ID 12: 'User' object has no attribute 'user_roles'
ERROR 2026-02-18 05:37:19,956 staff_service 69 140665903109824 Error updating staff ID 12: 'User' object has no attribute 'user_roles'
ERROR 2026-02-18 05:37:28,981 staff_service 69 140665903109824 Error updating staff ID 12: 'User' object has no attribute 'user_roles'
ERROR 2026-02-18 05:37:32,839 staff_service 69 140665903109824 Error updating staff ID 12: 'User' object has no attribute 'user_roles'
INFO 2026-02-18 05:40:39,225 staff_service 82 137318173243072 Staff updated: ID 12 by Admin 'admin'
INFO 2026-02-18 05:41:13,538 staff_service 82 137318173243072 Staff created: 'hhjj' by Admin 'admin'
INFO 2026-02-18 09:31:18,216 staff_service 99 140202929546944 Staff created: 'design' by Admin 'admin'
INFO 2026-02-18 10:57:15,218 staff_service 99 140202929546944 Staff created: 'print' by Admin 'admin'
INFO 2026-02-18 11:14:04,166 staff_service 99 140202929546944 Staff deleted: ID 7 by Admin 'admin'
INFO 2026-02-18 11:14:39,594 staff_service 99 140202929546944 Staff created: 'warehouse' by Admin 'admin'
INFO 2026-02-18 11:21:37,408 staff_service 99 140202929546944 Staff deleted: ID 8 by Admin 'admin'
INFO 2026-02-18 11:22:09,556 staff_service 99 140202929546944 Staff created: 'finance' by Admin 'admin'
