type,class,message,file,line,code
Return,DirectReturn,Inv #,shared_libs\core\financial\models.py,57,"return f""Inv #{self.invoice_number}"""
Return,DirectReturn,Quote #,shared_libs\core\financial\models.py,133,"return f""Quote #{self.quotation_number}"""
Return,DirectReturn, - ,shared_libs\core\financial\models.py,172,"return f""{self.name} - {self.amount:,} تومان"""
Return,DirectReturn, تومان,shared_libs\core\financial\models.py,172,"return f""{self.name} - {self.amount:,} تومان"""
Return,DirectReturn, (,shared_libs\core\order\models.py,45,"return f""{self.name} ({self.code})"""
Return,DirectReturn,),shared_libs\core\order\models.py,45,"return f""{self.name} ({self.code})"""
Return,DirectReturn, (,shared_libs\core\order\models.py,101,"return f""{self.name} ({self.internal_code})"""
Return,DirectReturn,),shared_libs\core\order\models.py,101,"return f""{self.name} ({self.internal_code})"""
Return,DirectReturn, | ,shared_libs\core\order\models.py,207,"return f""{self.order_code} | {self.user}"""
Return,DirectReturn, (x,shared_libs\core\order\models.py,279,"return f""{self.product.name if self.product else 'بدون محصول'} (x{self.quantity})"""
Return,DirectReturn,),shared_libs\core\order\models.py,279,"return f""{self.product.name if self.product else 'بدون محصول'} (x{self.quantity})"""
Return,DirectReturn,File v,shared_libs\core\order\models.py,324,"return f""File v{self.version}"""
Return,DirectReturn,: ,shared_libs\core\order\models.py,383,"return f""{self.order.order_code}: {self.from_status} -> {self.to_status}"""
Return,DirectReturn, -> ,shared_libs\core\order\models.py,383,"return f""{self.order.order_code}: {self.from_status} -> {self.to_status}"""
Exception,ValidationError,‌دسته‌بندی با این نام قبلا ساخته شده است.,shared_libs\core\product\models.py,159,raise ValidationError('‌دسته‌بندی با این نام قبلا ساخته شده است.')
Return,DirectReturn, -> ,shared_libs\core\product\models.py,215,"return f""{self.product.name} -> {self.category.name}"""
Exception,ValidationError,محصول باید قیمت داشته باشد,shared_libs\core\product\models.py,279,raise ValidationError('محصول باید قیمت داشته باشد')
Exception,ValidationError,نمی توانید تیک گزینه قیمت رو نزنید و سپس قیمت را وارد کنید.,shared_libs\core\product\models.py,281,raise ValidationError('نمی توانید تیک گزینه قیمت رو نزنید و سپس قیمت را وارد کنید.')
Exception,ValidationError,محصول با این نام قبلا ساخته شده است.,shared_libs\core\product\models.py,288,raise ValidationError('محصول با این نام قبلا ساخته شده است.')
Return,DirectReturn, - ,shared_libs\core\product\models.py,300,"return f""{self.name} - {self.code}"""
Return,DirectReturn, -> ,shared_libs\core\product\models.py,373,"return f""{self.field.title} -> {self.title}"""
Return,DirectReturn, - ,shared_libs\core\product\models.py,401,"return f""{self.product.name} - {self.field_dict.title}"""
Return,DirectReturn, -> ,shared_libs\core\product\models.py,449,"return f""{self.product_field} -> {self.choice_dict.title} (Value: {self.numeric_value})"""
Return,DirectReturn, (Value: ,shared_libs\core\product\models.py,449,"return f""{self.product_field} -> {self.choice_dict.title} (Value: {self.numeric_value})"""
Return,DirectReturn,),shared_libs\core\product\models.py,449,"return f""{self.product_field} -> {self.choice_dict.title} (Value: {self.numeric_value})"""
Return,DirectReturn,If ,shared_libs\core\product\models.py,481,"return f""If {self.trigger_field.field_dict.title} {self.operator} -> {self.action} {self.target_field.field_dict.title}"""
Return,DirectReturn, -> ,shared_libs\core\product\models.py,481,"return f""If {self.trigger_field.field_dict.title} {self.operator} -> {self.action} {self.target_field.field_dict.title}"""
Return,DirectReturn, - ,shared_libs\core\product\models.py,511,"return f""{self.product.name} - {self.title}"""
Return,DirectReturn, -> ,shared_libs\core\product\models.py,592,"return f""{self.user.username} -> {self.product.name}: {self.score}"""
Return,DirectReturn,: ,shared_libs\core\product\models.py,592,"return f""{self.user.username} -> {self.product.name}: {self.score}"""
